id;name;group_id
56;ак;5
1;20 ГЛ;1
63;20 ГЛ пасажир;1
91;20 ГЛ пасажир ЦМО;1
30;20 ГЛ режимная;1
3;30 ГСЛ-Б;1
16;30 ГСЛА;1
88;АЧС-2;2
87;АЧС-3 втулка 10.02-2501-1;2
38;ВЧ 400-15;2
39;ВЧ 420-12;2
40;ВЧ 450-10;2
41;ВЧ 450-5;2
43;ВЧ 500-2;2
42;ВЧ 500-7;2
44;ВЧ 600-3;2
45;ВЧ 700-2;2
46;ВЧ 800-2;2
47;ВЧ 900-2;2
51;ЛЧ-СС;2
29;СЧ 25;2
67;СЧ легований СПЦ;2
31;СЧ100;2
49;СЧ150;2
55;СЧ20;2
32;СЧ200;2
85;"СЧ200 ""Вкладиш"" МН45.001";2
37;"СЧ200 ""Корпус редуктора""";2
33;СЧ250;2
34;СЧ300;2
35;СЧ350;2
36;СЧА400;2
95;ЧС17М3;2
76;36Х2Н2МФА (2);3
94;75Х28Н2СЛ;3
96;75Х28Н2СЛ ДСП;3
98;75Х28Н2СЛ ДСП з бр нерж;3
78;75Х28Н2СЛ ДСП з бр нерж і пове;3
97;75Х28Н2СЛ ДСП з поверненням в;3
70;75Х28Н2СЛ ЦМО з бр нерж;3
99;75Х28Н2СЛ ЦМО з бр нерж і пов;3
66;E230-400MS C2;3
65;E230-400MS С2 СПЦ;3
100;GE240 N;3
101;GX40CrNiSi25-20;3
10;СТ. 20;3
12;СТ. 35ХМ;3
11;СТ. 45;3
105;10Х18Н9Л;4
108;10Х18Н9Л без бр;4
109;10Х18Н9Л без бр з повер;4
110;10Х18Н9Л з бр без повер;4
111;10Х18Н9Л з бр з повер;4
72;110Г13Л   ЦМО;4
71;110Г13Л лив лаб;4
17;20 X23H13;4
28;20 ФЛ;4
73;20ГЛ  СПЦ;4
61;20ГЛ лив лаб, ЦМО;4
89;20ГЛ хамут пасажирський;4
13;20Л;4
50;20Л;4
53;20ХМФЛ;4
22;25Л;4
79;25Л (2);4
58;30ХМЛ;4
27;32ХЛ;4
84;"35Л ""Клин"" УП30.049";4
64;35Л ДСП;4
52;35Л ЦМО, УМіВ;4
86;35Л ролик 128.30.170.0.023;4
23;35ХГСЛ;4
102;35ХГСЛ СПЦ;4
59;35ХМЛ;4
81;35ХМЛ ДСП;4
60;35ХМФЛ;4
62;40ФХЛ;4
21;40Х24Н12СЛ;4
18;40ХЛ;4
90;40ХЛ беззазорн автозчепл;4
57;40ХФЛ;4
24;45 ХЛ;4
20;45Л;4
26;50Л;4
19;55Л;4
104;AlSi10Mg;5
93;АК12;5
54;АК5М2;5
77;АК5М2 (2);5
107;АК5М2 Запоб з поверненням;5
106;АК5М2 Запобіжник;5
92;АК7;5
103;АК9;5
75;БрАЖ9-4;6
